Unnamed: 0,name,artist,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre
0,'Long As You Know You're Living Yours,Keith Jarrett,Belonging,0.4791666666666667,0.605,0.376,5,0.6415076105339453,1,0.0322,0.253,0.207,0.117,0.948,0.5159296678624594,5z7deaTe21B7QVPhSDouL1,0.2948336483931947,4,jazz
1,"'Ode To Joy' From Symphony No. 9 In D Minor 'Choral', Op. 125",Ludwig van Beethoven,Hallelujah - 35 Great Sacred Choruses,0.3125,0.266,0.516,2,0.7007248127567045,1,0.0498,0.846,0.472,0.305,0.236,0.6822241745369353,3mhzXvn3dqhC3Z3k6l4kEz,0.13304347826086957,4,orchestral
2,'Round Midnight,Thelonious Monk,Monk Alone: The Complete Columbia Solo Studio Recordings of Thelonious Monk- 1962-1968,0.0,0.518,0.419,8,0.7968833051461707,1,0.0497,0.944,0.82,0.247,0.259,0.18795909900675986,1kAaGwsZioS6AoP78CLbWr,0.16011342155009453,4,jazz
3,'Round Midnight,Thelonious Monk,"Genius Of Modern Music (Vol.1, Expanded Edition)",0.5416666666666666,0.542,0.32,8,0.7623822179270355,1,0.0387,0.907,0.649,0.0609,0.206,0.4227127412938965,1wl5b2lw3YagQtZiYZbQWP,0.12751134215500945,4,jazz
4,"'Round Midnight (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)",Miles Davis,'Round About Midnight,0.53125,0.494,0.182,10,0.7348151727470403,0,0.0443,0.79,0.00036,0.129,0.21,0.39855894770236955,5vb7At47uO0yPGfmYnAHuw,0.2801512287334594,4,jazz
5,'Till I Collapse,Eminem,The Eminem Show,0.0,0.551,0.851,1,0.9242087460739309,1,0.197,0.0748,0.0,0.0784,0.1,0.756820899529004,6yr8GiTHWvFfi4o6Q5ebdT,0.2258601134215501,4,hiphop
6,(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,0.75,0.333,0.927,9,0.7968108238705002,0,0.0733,0.0029,0.000208,0.297,0.385,0.5741269492642215,5QTxFnGygVM4jFQiBovmRo,0.2355264650283554,4,rock
7,(Every Time I Turn Around) Back In Love Again,L.T.D.,Disco Top 50,0.010416666666666666,0.793,0.846,10,0.842884754771684,0,0.052,0.00381,0.000372,0.0605,0.923,0.37790101764404416,5Ftk8E8A9FXYSsArdzM9yy,0.43348487712665407,4,disco
8,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,0.7708333333333334,0.723,0.863,2,0.8127567045179995,1,0.0338,0.0383,0.0317,0.128,0.931,0.5426214705810576,2PzU4IB8Dr6mxV3lHuaG34,0.1548960302457467,4,rock
9,(I Get So) Emotional,James Vickery,(I Get So) Emotional,0.5,0.476,0.503,3,0.7483450108721914,1,0.0634,0.655,2.24e-05,0.202,0.279,0.16829562925543595,4AHFGnD2G51kpRhZEgho8a,0.12274763705103969,4,R&B
10,(I Left My Heart) In San Francisco,Tony Bennett,I Left My Heart In San Francisco,0.5833333333333334,0.313,0.078,0,0.5785697028267698,1,0.0332,0.955,4.48e-06,0.169,0.125,0.4923676696683505,1bYItjcPRtxZs6Ir71O5RB,0.10588563327032136,4,jazz
11,"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,Dirty Dancing (Original Motion Picture Soundtrack),0.6666666666666666,0.697,0.669,6,0.6959893694129017,0,0.0406,0.0404,0.00897,0.0654,0.486,0.3730385338116504,6W7ztLBiRzBN46ZaPAcQ0F,0.21871455576559545,4,disco
12,(Shake Shake Shake) Shake Your Booty,KC & The Sunshine Band,"Dance Grooves 70´s & 80´s - Disco, Soul & Funk",0.08333333333333333,0.651,0.945,10,0.8119835709108482,1,0.0361,0.169,0.475,0.15,0.939,0.39613685726139053,2ShlmCf4hlWpIi5GQiAdRy,0.11976086956521739,4,disco
